path,filename,species,genus,dataset,data_type
S:/Prosjekter/52106_SFI_SmartForest/annotated_datasets/speciesClassification_proximalLS/ForInstance/Alnus_glutinosa/NIBIO_tree13_plot7.txt,NIBIO_tree13_plot7.txt,Alnus_glutinosa,Alnus,ForInstance,ULS
S:/Prosjekter/52106_SFI_SmartForest/annotated_datasets/speciesClassification_proximalLS/ForInstance/Alnus_glutinosa/NIBIO_tree3_plot2.txt,NIBIO_tree3_plot2.txt,Alnus_glutinosa,Alnus,ForInstance,ULS
S:/Prosjekter/52106_SFI_SmartForest/annotated_datasets/speciesClassification_proximalLS/ForInstance/Betula_pendula/NIBIO_tree1_plot12.txt,NIBIO_tree1_plot12.txt,Betula_pendula,Betula,ForInstance,ULS
S:/Prosjekter/52106_SFI_SmartForest/annotated_datasets/speciesClassification_proximalLS/ForInstance/Betula_pendula/NIBIO_tree1_plot8.txt,NIBIO_tree1_plot8.txt,Betula_pendula,Betula,ForInstance,ULS
S:/Prosjekter/52106_SFI_SmartForest/annotated_datasets/speciesClassification_proximalLS/ForInstance/Betula_pendula/NIBIO_tree1_plot9.txt,NIBIO_tree1_plot9.txt,Betula_pendula,Betula,ForInstance,ULS
S:/Prosjekter/52106_SFI_SmartForest/annotated_datasets/speciesClassification_proximalLS/ForInstance/Betula_pendula/NIBIO_tree10_plot12.txt,NIBIO_tree10_plot12.txt,Betula_pendula,Betula,ForInstance,ULS
S:/Prosjekter/52106_SFI_SmartForest/annotated_datasets/speciesClassification_proximalLS/ForInstance/Betula_pendula/NIBIO_tree10_plot4.txt,NIBIO_tree10_plot4.txt,Betula_pendula,Betula,ForInstance,ULS
S:/Prosjekter/52106_SFI_SmartForest/annotated_datasets/speciesClassification_proximalLS/ForInstance/Betula_pendula/NIBIO_tree10_plot6.txt,NIBIO_tree10_plot6.txt,Betula_pendula,Betula,ForInstance,ULS
S:/Prosjekter/52106_SFI_SmartForest/annotated_datasets/speciesClassification_proximalLS/ForInstance/Betula_pendula/NIBIO_tree11_plot12.txt,NIBIO_tree11_plot12.txt,Betula_pendula,Betula,ForInstance,ULS
S:/Prosjekter/52106_SFI_SmartForest/annotated_datasets/speciesClassification_proximalLS/ForInstance/Betula_pendula/NIBIO_tree11_plot4.txt,NIBIO_tree11_plot4.txt,Betula_pendula,Betula,ForInstance,ULS
